tconst	parentTconst	seasonNumber	episodeNumber
tt0074318	tt0167732	1	23
tt0074327	tt1466074	5	4
tt0074328	tt1466074	6	1
tt0074329	tt1466074	5	6
tt0074330	tt1466074	5	5
tt0074331	tt1466074	6	2
tt0074428	tt0165592	6	24
tt0074429	tt0762803	4	2
tt0074453	tt0165592	6	23
tt0074551	tt0165593	11	8
tt0074558	tt0075510	1	0
tt0074568	tt0073994	1	0
tt0074580	tt0207281	1	1
tt0074655	tt0075517	1	0
tt0074668	tt10549352	\N	\N
tt0074669	tt10549352	\N	\N
tt0074674	tt1049986	3	9
tt0074690	tt1043199	1	3
tt0074725	tt0762803	3	9
tt0074726	tt0165592	6	17
tt0074753	tt0075523	1	0
tt0074759	tt0259806	7	2
tt0074772	tt0075524	1	0
tt0074822	tt0762803	4	3
tt0074823	tt0165593	11	6
tt0074834	tt0077027	1	0
tt0074854	tt1049986	5	2
tt0074895	tt0762803	4	1
tt0074922	tt0074026	1	0
tt0074988	tt0165592	6	12
tt0075000	tt10549352	\N	\N
tt0075022	tt0075552	1	0
tt0075050	tt0165592	6	22
tt0075072	tt0762803	3	8
tt0075075	tt0331805	2	6
tt0075095	tt0762803	3	5
tt0075124	tt1380837	1	1
tt0075149	tt0165592	7	3
tt0075193	tt0074054	1	0
tt0075308	tt0806910	1	66
tt0075309	tt0806910	1	73
tt0075310	tt0806910	1	63
tt0075331	tt0165592	6	21
tt0075351	tt0165593	11	5
tt0075422	tt0169416	1	5
tt0075446	tt1049986	3	4
tt0075450	tt0165592	7	6
tt0075460	tt0806910	1	61
tt0075622	tt0165592	8	3
tt0075623	tt0958967	1	3
tt0075661	tt1294801	1	2
tt0075671	tt0076975	1	1
tt0075673	tt0165593	12	6
tt0075719	tt0167732	1	24
tt0075761	tt0400019	1	3
tt0075828	tt1724507	1	17
tt0075864	tt1466074	6	3
tt0075865	tt1466074	7	2
tt0075866	tt1466074	7	1
tt0075869	tt0165592	8	2
tt0075986	tt0400019	1	6
tt0076007	tt0958967	1	2
tt0076016	tt0077008	1	1
tt0076132	tt0165593	12	7
tt0076143	tt0400019	1	4
tt0076156	tt0934712	1	3
tt0076163	tt0400019	1	5
tt0076190	tt0077031	1	1
tt0076225	tt0075519	1	1
tt0076267	tt0208624	1	10
tt0076269	tt0159876	\N	\N
tt0076273	tt0165592	7	9
tt0076279	tt0806901	7	2
tt0076335	tt0075532	1	0
tt0076357	tt0075533	1	1
tt0076375	tt0927664	1	2
tt0076376	tt0165592	8	7
tt0076413	tt0400019	1	1
tt0076421	tt0075539	1	0
tt0076429	tt0806910	1	82
tt0076450	tt0075529	1	0
tt0076482	tt1245432	1	4
tt0076503	tt0075551	1	0
tt0076530	tt1049986	6	9
tt0076547	tt1245432	1	1
tt0076565	tt1057900	1	1
tt0076608	tt1049986	6	10
tt0076640	tt0075573	1	0
tt0076703	tt12919018	\N	\N
tt0076705	tt0958967	1	6
tt0076718	tt0958967	1	4
tt0076775	tt0165592	8	1
tt0076799	tt0806910	1	72
tt0076800	tt0806910	1	75
tt0076819	tt0400019	1	2
tt0076906	tt0165593	13	2
tt0076925	tt0165593	12	4
tt0076928	tt0199252	\N	\N
tt0076940	tt12919018	\N	\N
tt0076942	tt0165593	13	1
tt0077035	tt0165593	14	1
tt0077129	tt0165592	8	17
tt0077180	tt14801528	1	3
tt0077196	tt0078564	1	0
tt0077282	tt0165592	9	7
tt0077310	tt0120958	4	1
tt0077325	tt0046593	24	16
tt0077346	tt5272570	1	1
tt0077347	tt5272570	1	2
tt0077352	tt1466074	7	4
tt0077353	tt1466074	7	3
tt0077354	tt1466074	7	5
tt0077378	tt1245432	2	1
tt0077397	tt0165593	13	7
tt0077424	tt0165592	8	15
tt0077437	tt0165592	9	4
tt0077496	tt0068067	7	3
tt0077515	tt0075471	1	10
tt0077561	tt0958967	1	16
tt0077565	tt0165593	13	3
tt0077568	tt0077011	1	0
tt0077569	tt0958967	1	20
tt0077576	tt0806910	1	64
tt0077582	tt1471316	\N	\N
tt0077583	tt1245432	2	6
tt0077715	tt0958967	1	22
tt0077803	tt0208624	1	11
tt0077806	tt14801528	1	2
tt0077830	tt0958967	2	1
tt0077858	tt0298665	13	1
tt0077861	tt0078643	1	1
